uf,data,preco_medio,desvio_padrao
SAO PAULO,2004-08-29,2.0340000000000003,0.09
PARANA,2004-08-29,2.146,0.066
RIO GRANDE DO SUL,2004-08-29,2.272,0.132
SANTA CATARINA,2004-08-29,2.2030000000000003,0.05
DISTRITO FEDERAL,2004-09-05,2.128,0.052000000000000005
GOIAS,2004-09-05,2.144,0.078
MATO GROSSO,2004-09-05,2.56,0.071
MATO GROSSO DO SUL,2004-09-05,2.329,0.035
ALAGOAS,2004-09-05,2.212,0.04
BAHIA,2004-09-05,2.226,0.092
CEARA,2004-09-05,2.271,0.1
MARANHAO,2004-09-05,2.205,0.14
PARAIBA,2004-09-05,2.081,0.061
PERNAMBUCO,2004-09-05,2.153,0.073
PIAUI,2004-09-05,2.204,0.048
RIO GRANDE DO NORTE,2004-09-05,2.119,0.044
SERGIPE,2004-09-05,2.122,0.034
ACRE,2004-09-05,2.569,0.166
AMAPA,2004-09-05,2.398,0.12
AMAZONAS,2004-09-05,2.248,0.079
PARA,2004-09-05,2.424,0.147
RONDONIA,2004-09-05,2.468,0.13
RORAIMA,2004-09-05,2.146,0.021
TOCANTINS,2004-09-05,2.319,0.081
ESPIRITO SANTO,2004-09-05,2.162,0.049
MINAS GERAIS,2004-09-05,2.126,0.098
RIO DE JANEIRO,2004-09-05,2.1790000000000003,0.108
SAO PAULO,2004-09-05,2.032,0.091
PARANA,2004-09-05,2.136,0.073
RIO GRANDE DO SUL,2004-09-05,2.282,0.117
SANTA CATARINA,2004-09-05,2.202,0.049
DISTRITO FEDERAL,2004-09-12,2.145,0.03
GOIAS,2004-09-12,2.134,0.104
MATO GROSSO,2004-09-12,2.564,0.069
MATO GROSSO DO SUL,2004-09-12,2.337,0.046
ALAGOAS,2004-09-12,2.204,0.043
BAHIA,2004-09-12,2.225,0.095
CEARA,2004-09-12,2.263,0.102
MARANHAO,2004-09-12,2.201,0.138
PARAIBA,2004-09-12,2.076,0.069
PERNAMBUCO,2004-09-12,2.154,0.07200000000000001
PIAUI,2004-09-12,2.206,0.053
RIO GRANDE DO NORTE,2004-09-12,2.115,0.047
SERGIPE,2004-09-12,2.121,0.036000000000000004
ACRE,2004-09-12,2.5660000000000003,0.165
AMAPA,2004-09-12,2.352,0.099
AMAZONAS,2004-09-12,2.258,0.071
PARA,2004-09-12,2.424,0.14400000000000002
RONDONIA,2004-09-12,2.467,0.12
RORAIMA,2004-09-12,2.148,0.019
TOCANTINS,2004-09-12,2.29,0.057
ESPIRITO SANTO,2004-09-12,2.167,0.04
MINAS GERAIS,2004-09-12,2.131,0.103
RIO DE JANEIRO,2004-09-12,2.181,0.103
SAO PAULO,2004-09-12,2.032,0.09
PARANA,2004-09-12,2.131,0.084
RIO GRANDE DO SUL,2004-09-12,2.2840000000000003,0.112
SANTA CATARINA,2004-09-12,2.201,0.05
DISTRITO FEDERAL,2004-09-19,2.134,0.06
GOIAS,2004-09-19,2.133,0.118
MATO GROSSO,2004-09-19,2.551,0.08199999999999999
MATO GROSSO DO SUL,2004-09-19,2.344,0.039
ALAGOAS,2004-09-19,2.205,0.043
BAHIA,2004-09-19,2.227,0.092
CEARA,2004-09-19,2.26,0.116
MARANHAO,2004-09-19,2.191,0.138
PARAIBA,2004-09-19,2.061,0.081
PERNAMBUCO,2004-09-19,2.152,0.07400000000000001
PIAUI,2004-09-19,2.21,0.058
RIO GRANDE DO NORTE,2004-09-19,2.1180000000000003,0.044
SERGIPE,2004-09-19,2.123,0.037000000000000005
ACRE,2004-09-19,2.57,0.165
AMAPA,2004-09-19,2.4090000000000003,0.129
AMAZONAS,2004-09-19,2.249,0.079
PARA,2004-09-19,2.424,0.14800000000000002
RONDONIA,2004-09-19,2.463,0.13
RORAIMA,2004-09-19,2.153,0.021
TOCANTINS,2004-09-19,2.291,0.055
ESPIRITO SANTO,2004-09-19,2.162,0.043
MINAS GERAIS,2004-09-19,2.128,0.101
RIO DE JANEIRO,2004-09-19,2.181,0.108
SAO PAULO,2004-09-19,2.031,0.092
PARANA,2004-09-19,2.125,0.09
RIO GRANDE DO SUL,2004-09-19,2.286,0.105
SANTA CATARINA,2004-09-19,2.201,0.049
DISTRITO FEDERAL,2004-09-26,2.111,0.044
GOIAS,2004-09-26,2.15,0.07200000000000001
MATO GROSSO,2004-09-26,2.546,0.07400000000000001
MATO GROSSO DO SUL,2004-09-26,2.344,0.038
ALAGOAS,2004-09-26,2.205,0.043
BAHIA,2004-09-26,2.229,0.098
CEARA,2004-09-26,2.255,0.126
MARANHAO,2004-09-26,2.191,0.151
PARAIBA,2004-09-26,2.061,0.079
PERNAMBUCO,2004-09-26,2.154,0.073
PIAUI,2004-09-26,2.201,0.048
RIO GRANDE DO NORTE,2004-09-26,2.116,0.047
SERGIPE,2004-09-26,2.121,0.036000000000000004
ACRE,2004-09-26,2.57,0.165
AMAPA,2004-09-26,2.4,0.119
AMAZONAS,2004-09-26,2.251,0.071
PARA,2004-09-26,2.424,0.145
RONDONIA,2004-09-26,2.4730000000000003,0.116
RORAIMA,2004-09-26,2.148,0.017
TOCANTINS,2004-09-26,2.2880000000000003,0.056
ESPIRITO SANTO,2004-09-26,2.161,0.044
MINAS GERAIS,2004-09-26,2.126,0.105
RIO DE JANEIRO,2004-09-26,2.184,0.105
SAO PAULO,2004-09-26,2.032,0.092
PARANA,2004-09-26,2.122,0.094
RIO GRANDE DO SUL,2004-09-26,2.285,0.107
SANTA CATARINA,2004-09-26,2.199,0.053
DISTRITO FEDERAL,2004-10-03,2.086,0.058
GOIAS,2004-10-03,2.146,0.078
MATO GROSSO,2004-10-03,2.539,0.077
MATO GROSSO DO SUL,2004-10-03,2.3480000000000003,0.037000000000000005
ALAGOAS,2004-10-03,2.205,0.044
