TP_ESCOLA,TP_ENSINO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_STATUS_REDACAO,NU_NOTA_REDACAO
1,1.0,SP,18.0,F,0.0,3,473.2,528.8,529.9,399.1,1.0,700.0
1,1.0,PA,20.0,F,0.0,3,445.5,401.3,361.3,531.1,1.0,360.0
2,1.0,SP,17.0,F,0.0,1,657.2,686.4,648.9,783.9,1.0,920.0
1,3.0,RO,27.0,F,0.0,1,543.0,560.5,572.1,651.3,1.0,480.0
1,1.0,PI,19.0,F,0.0,4,510.3,551.2,557.6,447.1,1.0,960.0
2,2.0,PE,17.0,M,0.0,2,484.3,572.1,503.0,460.5,1.0,540.0
1,1.0,CE,41.0,F,2.0,3,536.3,649.5,562.3,486.6,1.0,560.0
1,3.0,AL,24.0,M,0.0,3,485.0,516.8,567.7,555.9,1.0,480.0
1,,BA,43.0,F,1.0,3,460.6,473.4,435.5,507.9,1.0,460.0
1,1.0,GO,23.0,M,0.0,4,664.6,672.7,599.8,703.9,1.0,900.0
1,,MA,20.0,M,0.0,1,497.0,483.1,506.1,500.7,1.0,660.0
1,1.0,BA,32.0,M,0.0,3,366.6,522.7,488.5,444.6,1.0,360.0
2,1.0,RJ,18.0,F,0.0,2,468.7,563.8,508.3,513.7,1.0,340.0
1,1.0,MT,20.0,M,0.0,3,511.8,607.7,574.7,608.1,1.0,420.0
1,1.0,SP,21.0,F,0.0,2,468.6,591.3,555.1,582.8,1.0,720.0
1,,BA,39.0,F,2.0,3,496.9,426.5,436.9,479.3,1.0,560.0
1,,BA,21.0,F,0.0,2,499.4,573.9,531.2,432.8,1.0,320.0
1,1.0,PB,19.0,F,0.0,1,526.6,462.3,536.6,555.9,1.0,560.0
1,1.0,PE,38.0,F,1.0,3,403.1,585.8,503.3,429.8,1.0,360.0
1,1.0,SP,17.0,F,0.0,1,553.0,622.2,614.6,473.1,1.0,600.0
2,1.0,SE,19.0,F,0.0,3,404.0,507.7,408.2,416.4,6.0,0.0
1,1.0,MA,31.0,F,0.0,1,508.8,614.1,584.3,453.1,1.0,380.0
1,1.0,MS,20.0,F,0.0,1,461.6,596.8,560.1,682.2,1.0,580.0
1,1.0,MG,21.0,F,0.0,3,424.8,584.9,535.5,543.0,1.0,360.0
1,1.0,TO,24.0,F,0.0,3,393.0,551.4,567.1,509.9,1.0,360.0
1,1.0,SP,23.0,F,0.0,1,421.2,487.8,407.0,447.0,1.0,520.0
1,1.0,PE,19.0,F,0.0,3,438.6,582.7,587.4,563.2,1.0,500.0
1,3.0,GO,21.0,F,0.0,3,427.4,524.9,476.3,625.9,1.0,320.0
1,1.0,CE,18.0,F,0.0,2,511.9,589.9,625.5,493.4,1.0,640.0
1,1.0,AM,20.0,F,0.0,5,453.5,423.2,539.1,562.1,1.0,680.0
1,1.0,CE,20.0,F,0.0,2,476.5,636.3,574.9,430.4,1.0,580.0
1,1.0,DF,22.0,F,0.0,2,514.7,640.4,615.5,566.0,1.0,360.0
1,1.0,PR,24.0,F,0.0,1,527.8,514.7,517.3,514.7,1.0,340.0
1,1.0,PE,20.0,F,0.0,3,462.1,592.0,524.9,515.3,1.0,760.0
1,1.0,RS,47.0,F,1.0,1,478.0,637.9,527.9,554.4,1.0,400.0
1,1.0,RJ,19.0,M,0.0,3,610.6,642.8,611.5,777.6,1.0,820.0
1,1.0,ES,33.0,F,1.0,3,494.1,498.8,430.8,494.1,1.0,260.0
2,1.0,PB,20.0,F,0.0,2,466.7,595.8,496.5,444.2,1.0,540.0
1,,PA,18.0,F,0.0,2,566.2,460.9,497.1,567.2,1.0,500.0
1,1.0,PE,26.0,F,0.0,1,443.7,593.4,545.6,526.4,1.0,520.0
1,1.0,SP,27.0,M,0.0,2,395.8,600.0,501.6,505.5,1.0,580.0
